8_x,8_y,8_z
0.7246055,0.3949018,-3.3540564e-07
0.77800107,0.32383358,-0.0076145567
0.81151855,0.23807234,-0.007727997
0.8134178,0.15496542,-0.010734734
0.7858346,0.12588695,-0.012700151
0.77537435,0.18944852,0.012497676
0.77725524,0.12206672,-0.005482407
0.7812628,0.17013559,-0.018228563
0.7796984,0.21168241,-0.023250762
0.74612015,0.1945339,0.009372129
0.75029916,0.13270499,-0.011703754
0.7553585,0.20319489,-0.020757636
0.7523815,0.2490012,-0.020867132
0.7167259,0.20605294,0.002688741
0.7222472,0.14926068,-0.019603463
0.72929853,0.2164448,-0.018258102
0.7275599,0.2625305,-0.0100376895
0.68407243,0.22402893,-0.004562589
0.69073564,0.16811009,-0.016421054
0.7018542,0.2063146,-0.010373124
0.70400774,0.24227858,-0.001649236
0.6982431,0.4273903,-3.9795816e-07
0.745533,0.34401694,-0.0057591745
0.76978946,0.2525475,-0.00631258
0.7681107,0.17023945,-0.010336302
0.7409651,0.14228156,-0.012744052
0.7323141,0.19999935,0.01071852
0.73122114,0.1280582,-0.0075584105
0.7380672,0.18253176,-0.019708062
0.73820335,0.22533703,-0.024460379
0.7049409,0.21119276,0.006302524
0.7067254,0.15453134,-0.013021603
0.7157904,0.22360282,-0.020318473
0.71408266,0.26344743,-0.020734755
0.67784244,0.22846688,-0.0014889288
0.68223643,0.1724896,-0.021946441
0.69292045,0.23951478,-0.018091325
0.6924497,0.2829383,-0.009555115
0.6481903,0.25161627,-0.00991587
0.6569342,0.192778,-0.020438025
0.66755605,0.23150232,-0.012599148
0.6673764,0.26652345,-0.0032825775
0.520187,0.6569851,2.762338e-07
0.5184457,0.54642904,-0.016084844
0.4938823,0.46788117,-0.019637704
0.450406,0.42465082,-0.024134392
0.41224813,0.43977416,-0.027074704
0.45800215,0.42462492,0.0013607771
0.43345067,0.33134383,-0.006530569
0.41704887,0.28244913,-0.011666825
0.40205607,0.24516533,-0.0152508775
0.42866838,0.46154383,-0.0002549323
0.37875897,0.3918997,-0.015949491
0.35372245,0.34899923,-0.025630524
0.3351968,0.31527075,-0.029652085
0.4130148,0.51497126,-0.0043850206
0.39234588,0.4684272,-0.030140594
0.42941827,0.49866593,-0.03291085
0.45260844,0.5282242,-0.02569509
0.40397623,0.57991374,-0.009442512
0.38428074,0.53362626,-0.029573752
0.4129586,0.53922194,-0.027569326
0.43670577,0.55504584,-0.020302773
0.49820197,0.6968514,3.3381323e-07
0.49638918,0.598797,-0.022996457
0.46285594,0.5146,-0.027995868
0.4106598,0.49069095,-0.032371756
0.3717655,0.51628155,-0.035240486
0.42056435,0.46915329,-0.005403259
0.38678572,0.37851486,-0.013491943
0.3665001,0.3285474,-0.018704765
0.3469743,0.2899177,-0.022120733
0.3936331,0.5156738,-0.0053737685
0.33417565,0.454442,-0.01831046
0.30220863,0.41949484,-0.027623313
0.27283865,0.39392048,-0.031316534
0.3824881,0.5761504,-0.008208358
0.35799223,0.53969735,-0.035516765
0.39708823,0.5576804,-0.0395721
0.4191943,0.58144754,-0.03228712
0.37807646,0.6449637,-0.012317687
0.35049337,0.6020868,-0.03269399
0.38028178,0.60214275,-0.02857991
0.4044914,0.6153067,-0.019370606
0.6982431,0.4273903,-3.9795816e-07
0.745533,0.34401694,-0.0057591745
0.76978946,0.2525475,-0.00631258
0.7681107,0.17023945,-0.010336302
0.7409651,0.14228156,-0.012744052
0.7323141,0.19999935,0.01071852
0.73122114,0.1280582,-0.0075584105
0.7380672,0.18253176,-0.019708062
0.73820335,0.22533703,-0.024460379
0.7049409,0.21119276,0.006302524
0.7067254,0.15453134,-0.013021603
0.7157904,0.22360282,-0.020318473
0.71408266,0.26344743,-0.020734755
0.67784244,0.22846688,-0.0014889288
0.68223643,0.1724896,-0.021946441
0.69292045,0.23951478,-0.018091325
0.6924497,0.2829383,-0.009555115
0.6481903,0.25161627,-0.00991587
0.6569342,0.192778,-0.020438025
0.66755605,0.23150232,-0.012599148
0.6673764,0.26652345,-0.0032825775
0.6624263,0.45549738,-3.3394616e-07
0.70421284,0.36509055,-0.0050573903
0.7235378,0.2708036,-0.0059163347
0.7163195,0.1911744,-0.0103408815
0.688974,0.16231097,-0.013409543
0.6825728,0.22272423,0.010250422
0.6774311,0.15173654,-0.008638874
0.6891134,0.2023179,-0.022170048
0.69299877,0.2492175,-0.02788906
0.65680015,0.24132864,0.0047320505
0.65238947,0.17739865,-0.016061498
0.66785294,0.24044052,-0.025860235
0.67121714,0.28632882,-0.027598796
0.6313991,0.26722357,-0.003913934
0.63207376,0.21233499,-0.02550333
0.6492839,0.27190307,-0.02396385
0.6537505,0.31689483,-0.016641134
0.6034837,0.29945683,-0.013122782
0.604774,0.24105704,-0.025355965
0.6212386,0.26964924,-0.019580351
0.6279591,0.30157667,-0.011546827
0.5874882,0.5454858,1.10124525e-07
0.6035222,0.4418091,-0.0038372679
0.59432936,0.33614156,-0.0019868894
0.5766436,0.27020988,-0.0042396616
0.55268,0.23682804,-0.0063353614
0.55336475,0.31532934,0.010363003
0.5291069,0.23581089,-0.009369971
0.54408807,0.21652953,-0.023585487
0.56550443,0.23543939,-0.027834512
0.53187007,0.34511012,0.0035143632
0.50099355,0.2545662,-0.01402365
0.5243657,0.2500288,-0.023709128
0.5487535,0.2735455,-0.024647607
0.5124316,0.38994828,-0.0064911917
0.5055059,0.33235142,-0.029664842
0.53316927,0.37095264,-0.031028701
0.54923457,0.41149762,-0.023460923
0.49526146,0.44566402,-0.016750356
0.485257,0.38489777,-0.031123765
0.5109457,0.39591637,-0.025574392
0.52932054,0.42255077,-0.01621211
0.55383396,0.59526074,2.2539305e-07
0.56109643,0.49855807,-0.011792235
0.54008603,0.4035532,-0.01444173
0.50434715,0.34740037,-0.01911139
0.4673562,0.32890454,-0.022619152
0.50371325,0.3626235,0.0053770095
0.48590684,0.2811996,-0.013645248
0.4779649,0.24007721,-0.025073254
0.47933754,0.23066425,-0.02820545
0.47793904,0.39643773,0.00014612285
0.4295094,0.30952445,-0.018921858
0.43107536,0.27345848,-0.026458358
0.44046947,0.25868767,-0.025320832
0.45950758,0.45061073,-0.008808399
0.44413117,0.39623106,-0.04050287
0.4814154,0.42678967,-0.04129853
0.5050636,0.46033245,-0.030213756
0.4460392,0.5152596,-0.017988248
0.434196,0.46648175,-0.040543642
0.4634573,0.4765389,-0.03514383
0.48276666,0.49674442,-0.023880119
0.6240771,0.49897528,-1.8526575e-07
0.6560691,0.3945664,-0.003539438
0.6612111,0.2907625,-0.0030857448
0.6449588,0.21415657,-0.0069221784
0.61388123,0.19814456,-0.010771324
0.62200975,0.26190597,0.01473151
0.6087143,0.18806042,-0.0039517023
0.6222087,0.20174888,-0.018530408
0.635159,0.24240576,-0.024467954
0.5982978,0.28953704,0.008274851
0.5844243,0.21270026,-0.012154963
0.60467696,0.2555466,-0.023600662
0.6173047,0.30695447,-0.025263023
0.57512975,0.32601932,-0.001290736
0.5700651,0.26672447,-0.02517058
0.59180874,0.31689617,-0.025830984
0.6020442,0.36602923,-0.01824094
0.55051976,0.37158749,-0.011061971
0.5476803,0.30827463,-0.0255097
0.5690068,0.32752523,-0.020312969
0.5803238,0.35831672,-0.011807586
0.5874882,0.5454858,1.10124525e-07
0.6035222,0.4418091,-0.0038372679
0.59432936,0.33614156,-0.0019868894
0.5766436,0.27020988,-0.0042396616
0.55268,0.23682804,-0.0063353614
0.55336475,0.31532934,0.010363003
0.5291069,0.23581089,-0.009369971
0.54408807,0.21652953,-0.023585487
0.56550443,0.23543939,-0.027834512
0.53187007,0.34511012,0.0035143632
0.50099355,0.2545662,-0.01402365
0.5243657,0.2500288,-0.023709128
0.5487535,0.2735455,-0.024647607
0.5124316,0.38994828,-0.0064911917
0.5055059,0.33235142,-0.029664842
0.53316927,0.37095264,-0.031028701
0.54923457,0.41149762,-0.023460923
0.49526146,0.44566402,-0.016750356
0.485257,0.38489777,-0.031123765
0.5109457,0.39591637,-0.025574392
0.52932054,0.42255077,-0.01621211
0.7641294,0.3693164,-3.783579e-07
0.8189909,0.30497128,-0.007132539
0.85714835,0.2228285,-0.007892972
0.8629633,0.1382693,-0.011968916
0.8340789,0.10765077,-0.014906206
0.8196151,0.16203009,0.013213391
0.83082986,0.096544534,-0.004614921
0.8332297,0.15066354,-0.01606514
0.8272509,0.18657964,-0.0206867
0.7913788,0.16256325,0.008740177
0.8052398,0.103304364,-0.01280091
0.80631757,0.1811362,-0.020404093
0.7972254,0.21831895,-0.019753389
0.7622392,0.16970336,0.0006597108
0.77757466,0.1108603,-0.024442066
0.7805961,0.18886662,-0.021025889
0.772012,0.22943516,-0.010974176
0.7284874,0.18368532,-0.0077347895
0.7460884,0.12557188,-0.021765161
0.7548269,0.17525028,-0.013542787
0.7507579,0.21098715,-0.0030234135
0.74979866,0.37676734,-3.7755004e-07
0.80436444,0.30783588,-0.0060754763
0.8394288,0.22588214,-0.005750958
0.8415557,0.14552419,-0.008889734
0.815649,0.11115933,-0.011054917
0.8076286,0.1712419,0.016332995
0.8126955,0.104767285,-0.0007417775
0.81415695,0.15487643,-0.013001573
0.8105354,0.19494343,-0.01798196
0.77770805,0.17243358,0.012283558
0.7852756,0.11116266,-0.0077105826
0.7866151,0.18490513,-0.016068691
0.78104573,0.2280111,-0.015829109
0.747613,0.18028441,0.004616448
0.7573172,0.123541184,-0.017810293
0.7605781,0.19679908,-0.01512575
0.7557542,0.24089023,-0.0058892523
0.7145416,0.19479547,-0.003415556
0.7258434,0.13743366,-0.015105873
0.7336266,0.18406716,-0.0071125003
0.7321321,0.220658,0.0030480418
0.55383396,0.59526074,2.2539305e-07
0.56109643,0.49855807,-0.011792235
0.54008603,0.4035532,-0.01444173
0.50434715,0.34740037,-0.01911139
0.4673562,0.32890454,-0.022619152
0.50371325,0.3626235,0.0053770095
0.48590684,0.2811996,-0.013645248
0.4779649,0.24007721,-0.025073254
