0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,hand
0.6083357930183411,0.8048746585845947,4.94076672907795e-08,0.6225658655166626,0.7443841695785522,-0.00952276960015297,0.6213482022285461,0.674282968044281,-0.013852319680154324,0.614399790763855,0.6225628852844238,-0.018849950283765793,0.596746563911438,0.5938953161239624,-0.02334541641175747,0.5756884217262268,0.6538143754005432,-0.005774784833192825,0.5586455464363098,0.5959880352020264,-0.020908690989017487,0.5752250552177429,0.5896854400634766,-0.032421864569187164,0.5899452567100525,0.60475754737854,-0.03748713806271553,0.5604130625724792,0.6756890416145325,-0.007670585066080093,0.5407456159591675,0.6105535626411438,-0.02129398286342621,0.5619848370552063,0.6042270064353943,-0.030309291556477547,0.5795003771781921,0.6217545866966248,-0.03418050333857536,0.5472001433372498,0.7061612010002136,-0.01165036205202341,0.5278948545455933,0.648885190486908,-0.02430896647274494,0.5503227710723877,0.6396929621696472,-0.027960097417235374,0.5687387585639954,0.6509688496589661,-0.027996452525258064,0.5355398058891296,0.7448970079421997,-0.01652669347822666,0.5205317735671997,0.7031453251838684,-0.026376742869615555,0.5364320278167725,0.6922207474708557,-0.027254730463027954,0.552737832069397,0.6990698575973511,-0.02600765787065029,1_29_100_pa-
0.5853005051612854,0.8693464398384094,1.780772294068811e-07,0.5967527627944946,0.8061892986297607,-0.022177759557962418,0.5956606268882751,0.7337237000465393,-0.031624097377061844,0.5841939449310303,0.685941755771637,-0.03948371112346649,0.5752519369125366,0.6424064040184021,-0.04726723954081535,0.530845046043396,0.7075092196464539,-0.017857156693935394,0.5073686242103577,0.6491960287094116,-0.030863642692565918,0.49488821625709534,0.6139426827430725,-0.04198069125413895,0.48587509989738464,0.5850189328193665,-0.04984048753976822,0.5102694630622864,0.7405412197113037,-0.01667020283639431,0.47455281019210815,0.7050374150276184,-0.028911596164107323,0.45577919483184814,0.6859486103057861,-0.040489230304956436,0.4462398588657379,0.6744574904441833,-0.04891551285982132,0.4999227523803711,0.7797684669494629,-0.018161214888095856,0.4669305980205536,0.7520052194595337,-0.03144310042262077,0.45651131868362427,0.7302853465080261,-0.04084259271621704,0.4559694230556488,0.7148891687393188,-0.04682289808988571,0.49639615416526794,0.8268973231315613,-0.02184482477605343,0.4659634232521057,0.8122165203094482,-0.03492731973528862,0.462455153465271,0.7937102913856506,-0.04099732264876366,0.4696250259876251,0.7763322591781616,-0.04413780942559242,1_29_100_pa-
0.5717161893844604,0.9120662212371826,2.0117865062729834e-07,0.5780786275863647,0.8429418206214905,-0.018824946135282516,0.570140540599823,0.777630627155304,-0.029541349038481712,0.5584022998809814,0.7263026237487793,-0.03940756991505623,0.5540809631347656,0.6784386038780212,-0.04954630881547928,0.5042263269424438,0.7634575963020325,-0.020793834701180458,0.47301623225212097,0.7134126424789429,-0.03616143390536308,0.4519853889942169,0.6871178150177002,-0.04835307598114014,0.4327383041381836,0.6658555269241333,-0.05753227323293686,0.4859465956687927,0.8039798140525818,-0.022793717682361603,0.44211992621421814,0.7693050503730774,-0.036868929862976074,0.4157441258430481,0.7510815858840942,-0.04850558564066887,0.39218318462371826,0.7356152534484863,-0.056952204555273056,0.4800266921520233,0.8491664528846741,-0.02673550695180893,0.4392067492008209,0.8279300332069397,-0.04049072042107582,0.4133968651294708,0.8148937821388245,-0.049499209970235825,0.3899558484554291,0.8000178933143616,-0.05576777458190918,0.4836384356021881,0.8986417055130005,-0.03242114186286926,0.45261409878730774,0.8978558778762817,-0.04547981545329094,0.4335782527923584,0.8939592838287354,-0.05105466768145561,0.41558074951171875,0.8843110203742981,-0.05426880344748497,1_29_100_pa-
0.5631689429283142,0.9391978979110718,2.459604502291768e-07,0.5700893402099609,0.8732561469078064,-0.024569373577833176,0.5614904165267944,0.8089859485626221,-0.038209088146686554,0.5483592748641968,0.7574821710586548,-0.04994087293744087,0.5411599278450012,0.7072925567626953,-0.06155567616224289,0.49183017015457153,0.7941252589225769,-0.02602282352745533,0.4598270654678345,0.7482219338417053,-0.04295773431658745,0.43862438201904297,0.7225137948989868,-0.05623767152428627,0.4189271926879883,0.7012656331062317,-0.06622112542390823,0.47319498658180237,0.8360782861709595,-0.025864625349640846,0.42830389738082886,0.8068938851356506,-0.041568391025066376,0.40128397941589355,0.7916890978813171,-0.054061856120824814,0.3776973485946655,0.7793704271316528,-0.06298314034938812,0.4679983854293823,0.8831202983856201,-0.028183050453662872,0.42487072944641113,0.8669741153717041,-0.04390767961740494,0.39830365777015686,0.8585787415504456,-0.053842127323150635,0.37449079751968384,0.8475791215896606,-0.0603838674724102,0.47301167249679565,0.9339399337768555,-0.03265742212533951,0.4395354986190796,0.9357446432113647,-0.04778935760259628,0.41842523217201233,0.9360012412071228,-0.05464514344930649,0.3980143666267395,0.9307022094726562,-0.058480553328990936,1_29_100_pa-
0.8082777857780457,0.46594929695129395,-2.3125204506868613e-07,0.8438622951507568,0.4542207717895508,-0.004105031490325928,0.8728408813476562,0.43398213386535645,-0.005837556906044483,0.884207546710968,0.39340031147003174,-0.010139502584934235,0.8701550364494324,0.36412563920021057,-0.01375818531960249,0.8588650822639465,0.3827674984931946,0.01118957158178091,0.8742175102233887,0.3582363724708557,0.0008592354715801775,0.8682026863098145,0.38974127173423767,-0.006598540581762791,0.8581995964050293,0.4063391089439392,-0.009892291389405727,0.8437091112136841,0.36948803067207336,0.008083914406597614,0.8591824173927307,0.3466283977031708,-0.0032229211647063494,0.8514241576194763,0.38788488507270813,-0.008858287706971169,0.8402243852615356,0.40408968925476074,-0.009767550975084305,0.826636552810669,0.35954731702804565,0.0026356338057667017,0.8429205417633057,0.33572906255722046,-0.011481367982923985,0.8361343145370483,0.3801894187927246,-0.010735508985817432,0.8242542147636414,0.40037140250205994,-0.005941052921116352,0.8057557940483093,0.3524695336818695,-0.0029328428208827972,0.8238065838813782,0.3272240459918976,-0.010411716997623444,0.8223987221717834,0.3584601879119873,-0.005586693063378334,0.8134352564811707,0.37791457772254944,0.0004200434486847371,1_29_100_pa-
0.8126729726791382,0.4661056399345398,-1.9467836409603478e-07,0.8444546461105347,0.4741971790790558,-0.011050685308873653,0.877739667892456,0.458802729845047,-0.015922442078590393,0.8895411491394043,0.41561487317085266,-0.021109336987137794,0.8793209791183472,0.37894225120544434,-0.02479032799601555,0.8660567402839661,0.4093259274959564,-0.002282526344060898,0.8833518028259277,0.3861467242240906,-0.01601138338446617,0.8756495118141174,0.418375700712204,-0.02181077189743519,0.8635922074317932,0.43135979771614075,-0.023128217086195946,0.8511902689933777,0.39088356494903564,-0.0018699881620705128,0.8678432703018188,0.3712058365345001,-0.016626659780740738,0.8581517338752747,0.4142002761363983,-0.020243875682353973,0.8451306819915771,0.42282548546791077,-0.0191869605332613,0.8352694511413574,0.37640950083732605,-0.004089745227247477,0.853094220161438,0.35799410939216614,-0.02219330333173275,0.8433817028999329,0.40486451983451843,-0.020796941593289375,0.8287680149078369,0.4181601107120514,-0.014901724644005299,0.8158695697784424,0.3641911745071411,-0.006654716562479734,0.8350923657417297,0.3488371968269348,-0.017681343480944633,0.8312980532646179,0.3810376226902008,-0.015046995133161545,0.8198134899139404,0.39469897747039795,-0.010163495317101479,1_29_100_pa-
0.8071057200431824,0.47272786498069763,-2.264724798806128e-07,0.8377090692520142,0.4824615716934204,-0.012817218899726868,0.8720299601554871,0.46562322974205017,-0.019292110577225685,0.883381187915802,0.42325034737586975,-0.025857629254460335,0.8726495504379272,0.3858124315738678,-0.030826346948742867,0.8596552610397339,0.4149070084095001,-0.006154398433864117,0.8759272694587708,0.395700603723526,-0.02145933173596859,0.8688831329345703,0.4288397431373596,-0.028200283646583557,0.8575259447097778,0.4408848285675049,-0.030165329575538635,0.8436607122421265,0.3994656801223755,-0.00534861721098423,0.8592385649681091,0.38277387619018555,-0.019825730472803116,0.8507407903671265,0.4251377582550049,-0.022751495242118835,0.8381636142730713,0.432760626077652,-0.02213616669178009,0.8267266750335693,0.3865930438041687,-0.007354408968240023,0.8443230390548706,0.3686213791370392,-0.02495328150689602,0.8355384469032288,0.41550135612487793,-0.022978220134973526,0.8210303783416748,0.42879122495651245,-0.017527444288134575,0.8064126372337341,0.3761443495750427,-0.009932308457791805,0.82490473985672,0.3583504259586334,-0.019808821380138397,0.8221608400344849,0.39074644446372986,-0.016503114253282547,0.8113776445388794,0.40653806924819946,-0.011762714013457298,1_29_100_pa-
0.7981393933296204,0.4921659529209137,-1.2240717239819787e-07,0.8277999758720398,0.4925178587436676,-0.007830976508557796,0.856491208076477,0.46188580989837646,-0.008957207202911377,0.8647176623344421,0.4211306869983673,-0.010157176293432713,0.8540228009223938,0.3960154056549072,-0.010438955388963223,0.8379271626472473,0.41053080558776855,-0.0019961493089795113,0.8469754457473755,0.3782498836517334,-0.011543440632522106,0.8456699252128601,0.41212570667266846,-0.01686960645020008,0.8426032066345215,0.43468210101127625,-0.018883030861616135,0.8197963237762451,0.401502400636673,-0.0018620480550453067,0.830445408821106,0.3771420419216156,-0.011460429057478905,0.8270736336708069,0.41931048035621643,-0.013898535631597042,0.8208262920379639,0.4371480643749237,-0.013654439710080624,0.8018670678138733,0.3960231840610504,-0.0036110172513872385,0.8139101266860962,0.37222689390182495,-0.015287973918020725,0.8112429976463318,0.4129452407360077,-0.012548089027404785,0.8046655654907227,0.43117690086364746,-0.007925054058432579,0.7822160124778748,0.39224493503570557,-0.00579901272431016,0.7963843941688538,0.369265079498291,-0.012738107703626156,0.7962666153907776,0.39647170901298523,-0.008588599972426891,0.7903064489364624,0.4114510715007782,-0.003971902187913656,1_29_100_pa-
0.6823626160621643,0.6091035008430481,-1.7737028201736393e-07,0.7133480906486511,0.5465436577796936,-0.0010158595396205783,0.7258460521697998,0.48279255628585815,-0.0019304248271510005,0.7236530780792236,0.4326448142528534,-0.006463733967393637,0.708603024482727,0.4185218811035156,-0.01031896285712719,0.6935749650001526,0.4422249495983124,0.008984701707959175,0.6916399598121643,0.3921497166156769,-0.006511100567877293,0.7004371285438538,0.42498818039894104,-0.018841402605175972,0.7038965821266174,0.459531307220459,-0.02445349469780922,0.6756208539009094,0.4537995755672455,0.0033934463281184435,0.6761205196380615,0.40717601776123047,-0.013023988343775272,0.6863477230072021,0.4447464048862457,-0.021672232076525688,0.6894071102142334,0.4796672463417053,-0.02376805990934372,0.6574887633323669,0.471102774143219,-0.004494319669902325,0.6604567170143127,0.42720723152160645,-0.018051739782094955,0.6723674535751343,0.45671460032463074,-0.017940351739525795,0.6769556403160095,0.4873324930667877,-0.013967937789857388,0.6385237574577332,0.4949583113193512,-0.012917652726173401,0.6431529521942139,0.4568650424480438,-0.019356241449713707,0.656130313873291,0.4686143696308136,-0.01609817147254944,0.66373610496521,0.48635005950927734,-0.011493847705423832,1_29_100_pa-
0.6386821866035461,0.6634386777877808,1.1664393184673827e-07,0.6627894639968872,0.6025593280792236,-0.010551298968493938,0.6729487180709839,0.5299773216247559,-0.01311024185270071,0.6718012094497681,0.4734584093093872,-0.016177179291844368,0.6604771018028259,0.43578219413757324,-0.0187251977622509,0.625554621219635,0.48994180560112,-0.0010991223389282823,0.6128448247909546,0.4267900586128235,-0.013248361647129059,0.6252378225326538,0.41546326875686646,-0.02371401898562908,0.6385757327079773,0.4280100166797638,-0.028783077374100685,0.6073866486549377,0.5063197016716003,-0.0016898246249184012,0.5913942456245422,0.43930891156196594,-0.012768804095685482,0.6059620976448059,0.42836862802505493,-0.02276765927672386,0.6217219829559326,0.44515666365623474,-0.02810508757829666,0.591736376285553,0.5327444076538086,-0.004754996858537197,0.5739437341690063,0.4696294367313385,-0.0164675060659647,0.5886287093162537,0.45506051182746887,-0.023970510810613632,0.60545814037323,0.4658007323741913,-0.02725750021636486,0.5770117044448853,0.5683650374412537,-0.008761200122535229,0.5672616958618164,0.5266113877296448,-0.019361130893230438,0.581130862236023,0.5140558481216431,-0.024090176448225975,0.5977793335914612,0.5201861262321472,-0.025806540623307228,1_29_100_pa-
